Impact social et économique;Que risque une personne qui utilise l'IA pour réaliser des tâches mentales simples ?;Un affaiblissement du cerveau;La personne saura se débrouiller;Plus d'autonomie;Une étude à montrée que laisser l'IA faire toutes nos tâches à notre place réduit grandement nos capacités cognitives.;A
Impact social et économique;L’intelligence artificielle est située à quelle place dans le classement des secteurs les plus énergivores au monde ? ;7;3;11;L'IA va devenir de plus en plus énergivore à mesure que le nombre d'utilisateurs augmentent. Cela pose une vraie problématique climatique. Les plus énergivores sont l'industrie, les transports les bâtiments.;C
Impact social et économique;Par combien a été multiplié le prix de certains composants informatique à cause de l’IA en 2025?;3;2;5;L'augmentation soudaine de la demande de certains composants tel que les microconducteurs augment leur prix. L'IA en est responsable.;A
Impact social et économique;Une question posée à ChatGPT consomme combien de fois plus qu’une recherche Google ?;2;10;4;Le nombre de données utilisés pour faire une recherche à l'aide de l'IA est bien plus important que pour une recherche google ce qui explique cette différence.;B
Impact social et économique;Quelle est la quantité de CO² rejetée pour 1 question posée à ChatGPT ?;1g;1,5g;2g;C'est environ 3x plus qu'une recherche google;C
Impact social et économique;Quels sont les impacts positifis de l'IA dans le domaine de la santé ?;Un diagnostic plus rapide;Moins de médecin;Plus de consommation d'énergie;Certains médecins s'en servent pour pouvoir prédire quel traitement sera le plus efficace;A
Impact social et économique;Lequel est un risque lié à l'utilisation de l'IA dans l'industrie ?;Plus d'essence;Suppression d'emplois;Moins de grèves;L'IA pourrait remplacer de nombreux métiers à l'avenir;B
Impact social et économique;Lequel est un risque lié à l'utilisation de l'IA dans les médias ?;La diffusion de fausses informations;Des articles moins complets;Des journalistes moins compétents;Les fausses informations étant de plus en plus crédibles en raison de la génération d'image par IA, la véracité des informations est de plus en plus remise en question.;A
Impact social et économique;Que risque une personne qui utilise l'IA pour demander des méthodes toutes faites pour résoudre un problème plutôt que de le comprendre réellement ?;Elle se repose;Un apprentissage plus efficace;Une perte de ses capacités d'apprentissage;A force de remplacer sa propre réflexion par l'utilisation de l'IA, les capacités cognitives de chacun vont être ammenées à diminuer.;C
Impact social et économique;Pourcentage des 18-64ans à avoir adoptés l'IA générative ?;environ 30%;environ 40%;environ 25%;;B
Impact social et économique;Peut-on s'aider de l'IA pour détecter des cancers ?;Non, trop dangereux;Oui, elle aide les médecins;Oui, elle le peut toute seule;Certains médecins s'en servent pour pouvoir prédire quel traitement sera le plus efficace;B
Impact social et économique;Quels sont les composants informatiques les plus demandés pour faire fonctionner les Intelligences Artificiels?;Les cartes graphiques et le stockage;Les casques de réalités virtuelles;Les cartes mères;Les cartes graphiques NVIDIA pour jeux ont réduit de 30% en début 2026.En 2025, le prix des barrettes de RAM à augmenter d'environ  80% pour la DDR4.La DDR5 (plus performant) à reçu une hausse de moyenne de +200%.;A
Éthique et Vie Privée;Quel est un problème lié à la protection des données personnelles avec l’IA ? ;On ne sait pas quelles données sont stockées ni comment elles sont utilisées;Nous pouvons pas tout le temps récupérer ses données;Un problème de santé publique;Les IA sont très opaques sur la manière dont sont stockées les données. Elles peuvent servire de rémunération pour l'entreprise.;A
Éthique et Vie Privée;Quel est un risque lié à la surveillance par l’IA ? ;La réduction des crimes;La perte du droit à l’anonymat ;Un risque écologique;Le fait d'être surveillé en permanence induit que toutes nos informations personnelles sont répertoriées en ligne.;B
Éthique et Vie Privée;Quel est un exemple de technologie utilisant l’IA pour surveiller les déplacements des individus ? ;Les drones de livraison;Les voitures autonomes; La reconnaissance faciale;Dans certaines villes, notamment en Chine, l'IA est utilisée par les caméras de surveillance pour surveiller les déplacements de la population.;C
Éthique et Vie Privée;Quel est un impact positif de l’IA sur la créativité humaine ? ;Elle permet de donner plus d'idées;La créativité humaine risque de disparaître;L'Ia pourrait faire du plagiat.;L'IA permet de générer plusieurs idées rapidement, mais pas un produit final.;A
Éthique et Vie Privée;Quel est un problème lié à l’utilisation de l’IA dans les services clients (SAV) ? ;Un service moins efficace;L’amélioration de la qualité du service;La réduction des interactions humaines;L'omniprésence de l'IA amène invitablement à une réduction des interactions humaines.;C
Éthique et Vie Privée;Quel est un risque lié à l’utilisation de l’IA dans l’éducation ?;La perte de capacités de réflexion chez les élèves;La réduction du temps de travail des enseignants;Un risque de pénurie d'enseignants;Le risque est que les élèves n'aient plus la capacité de réfléchir par eux même.;A
Éthique et Vie Privée;Comment l'IA peut elle influencer les comportements des utilisateurs ?;En guidant les utilisateurs avec des recommandations;En restant neutre;En diffusant des publicités;Sans nous en rendre compte, nous pouvons être guidés par l'uilisation d'une IA dans nos demandes, comme par exemple l'achat d'un produit en ligne;A
Éthique et Vie Privée;De quelles données se sert l'IA pour apprendre ?;Des données personnelles plus ou moins sensibles;Les données fournies par l'Etat;De données venant d'une autre galaxie;L'IA utilise des bases de données disponibles sur internet pour fournir des réponses. Il n'y a pas de limites dans les données qu'elle peut utiliser.;A
Éthique et Vie Privée;Quel est le jeu mobile qui a servi à entraîner des robots de livraisons ? ;Clash Royal;Pokémon GO;Brawl Stars;La startup Coco robotic s'est associée avec Pokémon Go pour entraîner des robots à l'aide d'IA.;B
Éthique et Vie Privée;Une IA devient-elle plus performante lorsqu'elle a plus de processeurs ?;Plus rapide seulement;Plus de processeurs ne sert à rien;Oui, jusqu'à un certain seuil;En effet, lorsque une IA commence à hallicoiner lorsqu'elle dépasse une certaine puissance de calcul;C
Éthique et Vie Privée;Une IA ressent-elle des émotions ?;Non;Oui, selon notre politesse envers-elle;Oui, tout le temps;L'intelligence artificielle n'est qu'un algorithme. Elle fonctionne avec des ordinateurs et ne peut donc ressentir d'émotions.;A
Éthique et Vie Privée;Une IA est-elle capable de prendre des décisions acceptables ?;Jamais;Tout le temps;Dans des domaines très délimités;En effet si une IA a très peu de donnée sur un sujet, les décisions prises seraient plus hasardeuses que réfléchies.;C
Justice et Société;Quel problème est posé par l’IA dans le domaine de la reconnaissance faciale ? ;Une meilleure précision pour les visages blancs que les visages noirs;Une meilleure précision pour les visages féminins que masculins;Une meilleure précision pour les visages jeunes que pour les visages âgés ;L'IA se base sur des bases de données existantes en ligne, or le nombre de données sur les visages blancs est plus important. Cela pose un problème de discrimination.;A
Justice et Société; Quel problème l'IA pose dans le domaine médicale ?;Le coût élevé des équipements;La responsabilité en cas d’erreur médicale ;Des machines plus performantes;Lors d'une erreur médical causés par l'IA , le problème est qu'aucun humain n'est à l'origine de l'erreur. Qui est responsable ? Le fabriquant de l'IA ? On voit là que ça pose problème;B
Justice et Société;Dans quel domaine l’IA peut-elle entraîner des discriminations automatiques, comme cela a été observé chez Amazon ?;La création de nouveaux emplois;La surveillance d'employés;Le recrutement;L'utilisation de l'IA peut entraîner des discriminations en fonction du sexe, de la couleur de peau, des origines, …;C
Justice et Société;Quel risque l’IA pose-t-elle pour la démocratie ? ;Elle peut créer de fausses informations (deepfakes);Elle peut réduire le nombre de candidats aux élections ;Elle ne pose aucun risque.;Les fausses informations peuvent influencer les citoyens dans leurs votes.;A
Justice et Société;Quel est l’un des risques liés à l’utilisation de l’IA dans le domaine militaire ? ;Le temps d'exécution des décisions;La responsabilité en cas d’erreur; Un risque d'explosion;De la même manière que dans le domaine de la médecine, aucun humain ne peut être considéré comme responsable de l'erreur. Cela pose problème;B
Justice et Société;Quel est l’un des problèmes posé par l’IA dans le domaine de la justice sociale ? ;La justice ;Elle augmente  les inégalités économiques;Elle reproduit les inégalités présentes dans les données ;Les inégalités présente comme le niveau de revenu par exemple sont répliqués par l'IA.;C
Justice et Société;Quel est un risque lié à l’utilisation de l’IA dans les processus de recrutement automatisés ? ;Des décisions discriminatoires;Une réduction du temps de travail;Un danger pour la démocratie;L'IA ne vas pas traiter tous les candidats de la même manière. Certains pourraient se retrouver désavantagés dans le processus de recrutement en raison de leur sexe, couleur de peau, ce qui est un grave problème.;A
Justice et Société;Quel est un impact négatif de l’IA sur les relations sociales ? ;La création de nouveaux emplois; La réduction des interactions humaines;Elle augmente les mariages;Certaines personnes peuvent préférer des échanges avec l’IA à des relations humaines, parce qu’elles sont plus simples, toujours disponibles et sans conflit.;B
Justice et Société;Une expérience a été réalisée où l'IA a été utilisée pour aider un juge à prendre la bonne décision ;Succès;Echec;Résultat mitigé;En 2015, la cours de Cassation à lancé un projet, qui a pour but d'utiliser l'IA pour aider les juges à prendre la bonne décision, en modelisant le raisonnement idéal. Le projet à été abandonné face à la complexité des situations rencontréés. Les magistrats ne peuvent pas être binaire dans leur raionnement;B
Justice et Société;Quel est le problème lié au raisonnement d'une IA ?;L'IA n'explique pas son raisonnement pour obtenir un résultat;Trop de mauvaises réponses;L'IA risque de plagier d'autre raisonnements;On ne sait pas comment l'IA obtient un résultat. Il n'y a donc aucun moyen de le vérifier.;A
Justice et Société;Pourquoi certaines personnes pensent que l'on ne doit pas utiliser l'IA dans la justice ?;Parce qu'elle remplacerait les juges;Il y  a un risque que l'IA devienne un avocat;Parce que le métier de juge ne peut pas se résumer à un simple algorithme;être juge nécessite d'être impartial. Or l'IA se basant sur des données déjà existant est forcément impartiale.;C
Justice et Société;L'IA est-elle utilisée dans les réseaux-sociaux ?;Oui, pour fournir des recommandations plus pertinentes, et garder l'utilisateur plus longtemps;Non;Oui, pour corriger nos messages;En effet, l'IA est utilisée dans les réseaux-sociaux pour analyser le comportement de l'utilisateur et lui fournir le contenu adapté;A
Justice et Société;Une IA peut-elle être considérée comme un vrai ami ?;Oui;Non;Oui, mais en faisant attention;Une IA n'est PAS une personne, elle ne ressent rien;B